DEBUG 2024-10-07 16:02:22,176 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:23,177 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:24,178 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:25,179 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:26,181 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:27,182 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:28,183 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:29,184 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:30,186 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:31,188 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:32,188 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:33,190 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:34,190 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:35,191 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:36,193 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:37,194 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:38,195 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:39,196 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:40,198 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:41,199 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:42,200 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:43,201 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:44,202 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:45,203 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:46,204 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:47,205 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:48,207 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:49,208 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:50,210 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:51,210 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:52,211 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:53,212 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:54,213 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:55,214 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:56,216 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:57,218 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:58,218 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:02:59,219 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:00,220 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:01,222 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:02,224 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:03,224 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:04,225 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:05,226 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:06,227 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:07,228 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:08,230 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:09,232 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:10,233 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:11,234 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:12,235 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:13,236 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:14,237 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:15,238 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:16,239 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:17,240 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:18,241 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:19,243 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:20,245 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:21,245 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:22,246 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:23,247 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:24,248 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:25,249 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:26,250 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:27,251 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:28,253 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:29,255 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:30,255 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:31,256 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:32,258 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:33,259 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:34,260 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:35,261 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:36,263 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:37,264 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:38,265 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:39,266 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:40,268 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:41,269 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:42,270 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:43,271 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:44,272 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:45,273 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:46,274 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:47,275 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:48,277 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:49,278 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:50,280 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:51,280 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:52,281 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:53,282 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:54,283 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:55,285 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:56,285 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:57,286 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:58,288 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:03:59,289 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:00,290 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:01,291 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:02,293 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:03,294 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:04,295 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:05,297 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:06,298 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:07,299 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:08,300 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:09,301 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:10,303 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:11,304 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:12,305 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:13,306 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:14,307 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:15,309 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:16,310 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:17,311 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:18,312 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:19,314 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:20,316 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:21,316 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:22,317 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:23,319 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:24,320 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:25,321 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:26,322 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:27,324 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:28,325 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:29,326 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:30,327 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:31,329 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:32,331 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:33,331 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:34,333 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:35,334 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:36,335 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:37,336 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:38,337 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:39,338 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:40,339 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:41,340 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:42,341 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:43,342 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:44,343 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:45,345 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:46,346 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:47,347 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:48,349 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:49,350 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:50,351 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:51,353 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:52,354 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:53,356 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:54,357 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:55,358 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:56,360 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:57,361 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:58,362 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:04:59,363 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:05:00,364 matchmaking Matchmaking loop is running...
